id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
156020,WB89441,Aberlour A'bunadh Batch 57,112,118,5.4,success,
156027,WB134102,Highland Park 12 Years Old 58 Albert Street Kirkwall Cask Nr.1791,112,127,13.4,success,
156028,WB90678,Aberlour A'bunadh Batch 58,103,101,-1.9,success,
156032,WB140100,Clynelish Distillery Exclusive Bottling Exclusive Release Batch 01,89,116,30.3,success,
156035,WB11671,Edradour 12 Years Old Caledonia Selection,112,108,-3.6,success,
156037,WB128964,Glenmorangie 1991 Grand Vintage Malt - Bond House No. 1 Collection,127,131,3.1,success,
156041,WB112221,Kavalan Solist Sherry Cask Nr.S090122006,97,119,22.7,success,
156044,WB135463,Deanston 21 Years Old 1997,112,113,0.9,success,
156050,WB101497,Glendronach 24 Years Old 1993 Single Cask Nr.652,93,120,29.0,success,
156052,WB78379,Glendronach 47 Years Old 1968 Single Cask - Batch 13 Nr.5837,103,131,27.2,success,
156054,WB94814,Bowmore 10 Year Old Dark & Intense,108,132,22.2,success,
156056,WB185783,Kavalan Solist Madeira Cask Nr.D150507032A,105,122,16.2,success,
156061,WB64440,Balvenie 12 Years Old Single Barrel Nr.3191,97,123,26.8,success,
156063,WB74803,Glendronach 12 Years Old 2003 Single Cask Nr.4102,105,122,16.2,success,
156065,WB63824,Glendronach 19 Years Old 1995 Single Cask - Batch 11 Nr.4941,106,131,23.6,success,
156074,WB16332,Tobermory 10 Years Old,114,109,-4.4,success,
156076,WB236689,Lagg Corriecravie Edition,84,106,26.2,success,
156077,WB53037,Glendronach 18 Years Old 1995 Single Cask Nr.1732,120,114,-5.0,success,
156078,WB113817,Aberlour 25 Years Old 1992 2nd Release Whiskybroker.co.uk Cask Nr.3921,96,116,20.8,success,
156080,WB79685,Glendronach 19 Years Old 1995 Single Cask Nr.1711,107,137,28.0,success,
156088,WB78384,Glendronach 13 Years Old 2002 Single Cask - Batch 13 Nr.4651,111,115,3.6,success,
156089,WB18117,Hellyers Road Pinot Noir Finish ,88,112,27.3,success,
156092,WB22627,Powers 12 Years Old John'S Lane Release,113,120,6.2,success,
156095,WB120825,Aberlour 2003 Single Cask Nr.9044,100,118,18.0,success,
156096,WB175593,Bowmore 1997 Frankfurt Travellers Edition Cask Nr.32477,102,120,17.6,success,
156097,WB118241,Aberlour 19 Years Old Cask Nr.4824,112,102,-8.9,success,
156099,WB228230,Glendronach Cask Strength Batch 12,109,109,0.0,success,
156108,WB140159,Glenallachie 14 Years Old 2004 Single Cask Cask Nr.4139,104,124,19.2,success,
156109,WB17838,Talisker 1986 The Distillers Edition Cask Nr.TD-S: 5AM,116,118,1.7,success,
